name	x	y
Felis catus	2641.342	26437.315
Panthera pardus	2578.019	27916.415
Panthera tigris altaica	2391.082	25560.645
Ailuropoda melanoleuca	2299.509	21860.389
Ursus maritimus	2301.379	23601.287
Leptonychotes weddellii	3156.903	18198.402
Odobenus rosmarus divergens	2400.15	24471.787
Mustela putorius furo	2410.88	24599.168
Canis lupus familiaris	2410.977	30295.082
Manis javanica	2547.396	12930.825
Ceratotherium simum simum	2464.367	15979.29
Equus asinus	2391.051	14320.356
Equus caballus	2474.929	13961.152
Equus przewalskii	2395.954	14395.225
Balaenoptera acutorostrata scammoni	2431.688	18978.427
Lipotes vexillifer	2429.212	20888.632
Orcinus orca	2372.92	18911.757
Tursiops truncatus	2132.516	19200.636
Physeter catodon	2280.728	19868.386
Bison bison bison	2828.032	17406.446
Bos indicus	2673.965	17135.438
Bos taurus	2724.981	19129.421
Bos mutus	2645.162	18202.053
Bubalus bubalis	2836.167	18472.422
Capra hircus	2922.813	18070.883
Ovis aries	2615.516	18510.806
Ovis aries musimon	2589.835	17584.173
Pantholops hodgsonii	2696.886	17245.673
Sus scrofa	2808.526	23537.604
Camelus bactrianus	1992.663	17626.165
Camelus ferus	2009.195	17753.88
Camelus dromedarius	2004.064	17684.851
Vicugna pacos	2172.208	15764.377
Eptesicus fuscus	2026.629	18971.996
Myotis brandtii	2107.243	19436.477
Myotis lucifugus	2034.575	20160.003
Myotis davidii	2059.8	18113.727
Miniopterus natalensis	1803.099	18425.221
Hipposideros armiger	2236.581	17035.367
Rhinolophus sinicus	2073.345	18548.761
Pteropus alecto	1985.975	18321.544
Pteropus vampyrus	2198.285	17268.038
Rousettus aegyptiacus	1910.251	19702.651
Condylura cristata	1769.663	18302.714
Erinaceus europaeus	2715.721	32313.443
Sorex araneus	2423.158	22430.476
Aotus nancymaae	2926.582	17353.681
Callithrix jacchus	2914.959	19760.159
Cebus capucinus imitator	2717.703	21270.052
Saimiri boliviensis boliviensis	2608.589	21762.066
Cercocebus atys	2848.246	23611.659
Mandrillus leucophaeus	3061.993	19571.358
Papio anubis	2948.397	22255.788
Macaca fascicularis	2946.844	22384.774
Macaca mulatta	3236.224	21738.131
Macaca nemestrina	2948.704	21959.522
Chlorocebus sabaeus	2789.656	23191.565
Colobus angolensis palliatus	2970.125	19493.553
Rhinopithecus bieti	2977.075	22666.9
Rhinopithecus roxellana	2899.552	23856.84
Gorilla gorilla gorilla	3063.363	22849.399
Homo sapiens	3241.953	21291.692
Pan paniscus	3286.644	16889.439
Pan troglodytes	3231.171	22671.209
Pongo abelii	3441.244	21503.271
Nomascus leucogenys	2962.06	20072.576
Carlito syrichta	3453.865	22110.098
Microcebus murinus	2487.409	18942.462
Propithecus coquereli	2798.152	12318.8
Otolemur garnettii	2519.725	18756.486
Galeopterus variegatus	3187.661	18288.293
Castor canadensis	2518.307	18584.874
Dipodomys ordii	2236.369	34093.617
Cricetulus griseus	2360.13	28526.189
Mesocricetus auratus	2504.925	20726.955
Microtus ochrogaster	2287.341	24601.999
Peromyscus maniculatus bairdii	2630.541	29724.892
Mus musculus	2807.715	33776.343
Rattus norvegicus	2870.184	29412.485
Nannospalax galili	3061.425	24433.837
Jaculus jaculus	2835.25	26326.066
Ictidomys tridecemlineatus	2478.394	21476.885
Marmota marmota marmota	2510.587	24650.595
Tupaia chinensis	2846.58	30972.15
Cavia porcellus	2723.22	19363.226
Chinchilla lanigera	2390.869	19042.024
Octodon degus	2995.889	22131.802
Fukomys damarensis	2333.892	20581.688
Heterocephalus glaber	2618.205	17149.651
Ochotona princeps	2229.841	16883.254
Oryctolagus cuniculus	2737.463	25904.434
Chrysochloris asiatica	4210.11	14480.283
Echinops telfairi	2947.024	14498.693
Elephantulus edwardii	3843.983	15046.913
Orycteropus afer afer	4444.081	15675.07
Loxodonta africana	3196.738	16506.1
Trichechus manatus latirostris	3103.808	14761.559
Dasypus novemcinctus	3631.523	15515.549
Monodelphis domestica	3598.443	23298.087
Sarcophilus harrisii	3174.693	24254.151
Ornithorhynchus anatinus	1995.607	20520.516
