name	x	y
Nelumbo nucifera	804.648	19842.483
Amborella trichopoda	706.495	21130.463
Selaginella moellendorffii	212.502	15362.013
Physcomitrella patens	477.948	20611.816
Chondrus crispus	104.98	9633.101
Galdieria sulphuraria	13.712	9557.173
Pseudocercospora fijiensis CIRAD86	74.141	16358.267
Baudoinia panamericana UAMH 10762	21.876	9517.81
Sphaerulina musiva SO2202	29.352	29054.511
Zymoseptoria tritici IPO323	39.686	12138.763
Aureobasidium namibiae CBS 147.97	25.429	9549.326
Aureobasidium subglaciale EXF-2481	25.797	9363.052
Neofusicoccum parvum UCRNP2	42.593	13742.237
Diplodia corticola	34.986	21107.938
Coniosporium apollinis CBS 100218	28.645	10240.695
Verruconis gallopava	31.78	11542.907
Paraphaeosphaeria sporulosa	38.464	9253.816
Leptosphaeria maculans JN3	45.125	19699.668
Parastagonospora nodorum SN15	37.214	10085.697
Alternaria alternata	32.991	8332.769
Bipolaris maydis ATCC 48331	32.929	13742.528
Bipolaris sorokiniana ND90Pr	34.409	12994.328
Bipolaris victoriae FI3	32.83	14035.332
Bipolaris oryzae ATCC 44560	31.362	15908.853
Bipolaris zeicola 26-R-13	31.268	13732.342
Pyrenophora teres f. teres 0-1	33.583	13355.017
Pyrenophora tritici-repentis Pt-1C-BFP	37.997	11971.272
Setosphaeria turcica Et28A	43.014	22166.343
Cladophialophora bantiana CBS 173.52	36.723	10188.235
Exophiala mesophila	29.274	11377.507
Rhinocladiella mackenziei CBS 650.93	32.474	8934.783
Cladophialophora carrionii CBS 160.54	28.991	12909.957
Exophiala xenobiotica	31.406	9842.685
Capronia coronata CBS 617.96	25.808	14568.221
Fonsecaea pedrosoi CBS 271.37	34.689	13226.256
Exophiala aquamarina CBS 119918	41.567	10495.163
Exophiala dermatitidis NIH/UT8656	26.377	14656.8
Cyphellophora europaea CBS 101466	28.781	9840.903
Exophiala oligosperma	38.225	11297.41
Exophiala spinifera	32.912	12763.781
Capronia epimyces CBS 606.96	28.89	24699.617
Fonsecaea multimorphosa CBS 102226	33.447	10811.648
Cladophialophora immunda	43.029	10315.053
Fonsecaea erecta	34.748	13936.668
Cladophialophora yegresii CBS 114405	27.898	10772.76
Phialophora attae	30.364	7989.162
Cladophialophora psammophila CBS 110553	39.42	11746.182
Endocarpon pusillum Z07020	37.131	12770.811
Aspergillus fumigatus Af293	29.385	9726.983
Aspergillus aculeatus ATCC 16872	35.424	19162.547
Talaromyces marneffei ATCC 18224	28.644	12528.058
Penicillium rubens Wisconsin 54-1255	32.224	10363.138
Talaromyces stipitatus ATCC 10500	35.685	9698.324
Aspergillus niger CBS 513.88	34.007	13736.364
Talaromyces atroroseus	30.859	16602.783
Aspergillus oryzae RIB40	37.118	10591.904
Penicillium expansum	32.356	10987.25
Aspergillus nomius NRRL 13137	36.139	9940.418
Penicillium digitatum Pd1	26.053	9334.027
Rasamsonia emersonii CBS 393.64	28.249	19918.931
Aspergillus flavus NRRL3357	36.892	10459.026
Aspergillus nidulans FGSC A4	30.243	9174.995
Aspergillus fischeri NRRL 181	31.77	10167.983
Aspergillus terreus NIH2624	29.364	10912.47
Aspergillus clavatus NRRL 1	27.859	18349.112
Uncinocarpus reesii 1704	22.35	8363.722
Paracoccidioides lutzii Pb01	32.925	21204.548
Arthroderma otae CBS 113480	23.263	13206.457
Trichophyton rubrum CBS 118892	22.53	16865.858
Coccidioides immitis RS	29.016	14270.428
Paracoccidioides brasiliensis Pb18	29.953	22012.19
Blastomyces gilchristii SLH14081	75.405	21286.582
Trichophyton verrucosum HKI 0517	22.541	18215.235
Histoplasma capsulatum NAm1	33.03	18564.697
Coccidioides posadasii C735 delta SOWgp	27.013	14510.237
Trichophyton benhamiae CBS 112371	22.224	18461.395
Nannizzia gypsea CBS 118893	23.273	16066.082
Marssonina brunnea f. sp. 'multigermtubi' MB_m1	51.95	30242.997
Botrytis cinerea B05.10	42.744	17599.62
Sclerotinia sclerotiorum 1980 UF-70	38.533	19027.164
Glarea lozoyensis ATCC 20868	39.51	9554.759
Phialocephala scopiformis	48.876	11308.415
Pseudogymnoascus verrucosus	30.175	15666.918
Pseudogymnoascus destructans 20631-21	30.685	13792.109
Arthrobotrys oligospora ATCC 24927	40.073	20999.491
Dactylellina haptotyla CBS 200.50	39.532	17230.178
Tuber melanosporum	124.946	13389.4
Verticillium alfalfae VaMs.102	32.863	13021.975
Colletotrichum gloeosporioides Nara gc5	55.607	13243.766
Colletotrichum fioriniae PJ7	49.003	14923.362
Verticillium dahliae VdLs.17	33.9	14986.081
Colletotrichum higginsianum IMI 349063	50.716	20115.781
Colletotrichum graminicola M1.001	51.644	21202.705
Fusarium pseudograminearum CS3096	36.973	13563.262
Metarhizium robertsii ARSEF 23	41.657	10711.36
Purpureocillium lilacinum	38.535	18221.494
Fusarium graminearum PH-1	36.458	12218.318
Trichoderma reesei QM6a	33.396	22038.937
Trichoderma atroviride IMI 206040	36.144	14577.548
Isaria fumosorosea ARSEF 2679	33.486	17219.484
Beauveria bassiana ARSEF 2860	33.698	15999.89
Cordyceps militaris CM01	32.269	17286.414
Fusarium verticillioides 7600	41.845	11986.761
Pochonia chlamydosporia 170	43.842	11166.838
Metarhizium brunneum ARSEF 3297	37.066	11745.806
Fusarium oxysporum f. sp. lycopersici 4287	61.387	9964.352
Trichoderma gamsii	37.97	13792.027
Metarhizium acridum CQMa 102	39.422	12338.921
Metarhizium majus ARSEF 297	42.063	11798.97
